ID	Title	Name	Dec	Type	Host	Artificial	Aqua	Freshwater	Groundwater	Spring	Bog	Pond	Hydrothermal	Lagoon	Acidmine	Ice	Brackish	Marine	Soil	Sediment	Modified	Extreme	Biofilm	Metagenome	SingleCell	Warning	Ambiguous	Hypersaline
PRJNA224116	Refseq Prokaryotic Genome Annotation Project		NCBI has developed an automatic annotation pipeline that combines ab initio gene prediction algorithms with homology based methods. See more details <A HREF="http://www.ncbi.nlm.nih.gov/genome/annotation_prok/">here</A>.Historically RefSeq prokaryotic genomes retained on author submitted annotation. Annotation from different submitters varies in quality resulting in the inconsistent annotation even in closely related genomes. The NCBI Prokaryotic Annotation Pipeline can produce consistent high quality automatic annotation.	eMultispecies	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRJNA348753	Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life	metagenomes	Challenges in cultivating microorganisms have limited the phylogenetic diversity of currently available microbial genomes. This is being addressed by advances in sequencing throughput and computational techniques that allow for the cultivation-independent recovery of high-quality bacterial and archaeal genomes directly from metagenomic data. In this study, we recovered 7,903 uncultivated genomes from >1,000 metagenomes available from the Sequence Read Archive. These genomes increase the phylogenetic diversity of current archaeal and bacterial genome trees by >30%.	eEnvironment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJNA428721	Freshwater metagenomes from Lake Zurich, Switzerland	Freshwater metagenomes from Lake Zurich, Switzerland	Lake Zurich is a large (68km2), deep (136m), prealpine lake in Switzerland. This study describes the microbial communities of the Lake using high throughput sequencing. Water samples from different times and different depths representing the epi- and hypolimnion were taken at the deepest part of the lake (47°18’ N 8°34’ E). 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	eEnvironment	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJNA437159	freshwater metagenome Genome sequencing and assembly	freshwater metagenome	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	eEnvironment	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0
PRJNA525692	High-Arctic lake sediments are enriched in novel Metagenome Assembled Genomes fit for low temperature and oligotrophy	freshwater sediment metagenome	The Arctic is currently experiencing climate-change related warming, which rapidly affects the environmental constraints on its microbial communities. Yet, our knowledge of the community structure and function of high Arctic freshwater microbes is still lacking, even though they play key roles in nutrient cycling. Here, using high-throughput sequencing, we show that sediment microbial communities in the High Arctic’s largest lake by volume, Lake Hazen, are highly diverse and contain novel organisms which genomes we could reconstruct.	eEnvironment	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0
PRJDB5415	Nitrotoga sp. AM1 Genome sequencing	Candidatus Nitrotoga strain:Strain AM1	Nitrotoga is one of nitrite-oxidizing bacteria (NOB), which carry out the second step of nitrification and uses nitrite as sole energy for growth. Members of genus Nitrotoga are only belonging to class betaproteobacteria. "Candidatus Nitrotoga arctica" is primary cold-adapted NOB enriched from permafrost-affected soils in Siberia, and closely related clones to Nitrotoga were detected in diverse natural habitats such as glacier, a subglacial Antarctic lake, cave biofilm, groundwater and engineered systems operated at low temperature.  However, the ecological and genomic significance of Nitrotoga are big unknown. Recently, Candidatus Nitrotoga sp. AM1 was enriched from coastal water and characterized. Further insight into the biology of Nitrotoga would improve our understanding of nitrogen cycle in natural and engineered habitats.	eMultispecies	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0
PRJNA533545	Metagenome raw sequence reads from drinking water distribution systems with and without disinfectant residual	drinking water metagenome	To investigate the impact of disinfection strategy on drinking water microbiome in distribution system	eEnvironment	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	eMonoisolate	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
PRJNA629478	Activated sludge metagenome Genome sequencing and assembly	Activated sludge metagenome	This project encompasses data from the MiDAS genomes project, recovery of >1000 high-quality metagenome-assembled genomes. The project is funded by the Villum Foundation, Denmark. The associated sample metagenomes are from 23 Danish wastewater treatment plants. Both Illumina and Oxford Nanopore data are submitted.	eEnvironment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
PRJNA636190	freshwater metagenome	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	eEnvironment	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
