ID	Title	TaxID	Taxname	project type	geo loc name	isolation source	environment	host	Host	Artificial	Aqua	Freshwater	Groundwater	Spring	Bog	Pond	Hydrothermal	Lagoon	Acidmine	Ice	Brackish	Marine	Soil	Sediment	Modified	Extreme	Biofilm	Metagenome	SingleCell	Warning	Ambiguous	Hypersaline
SAMN06452348	Uncultivated Gallionellales bacterium UBA7399 genome recovered from SRX332015	1951095	Gallionellales bacterium UBA7399	metagenomic assembly|freshwater metagenome|true	USA: Georgia	Lake Lanier			0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
SAMN09011955	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. CP45	2184309	Candidatus Nitrotoga sp. CP45	This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN09002951|freshwater metagenome|1	USA:Colorado, Cache la Poudre River near state highway 45	Flowing water column of Cache la Poudre River; enriched in culture for about 1.5 years	freshwater river|river water column|water column		0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
SAMN09011956	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. LAW	2184310	Candidatus Nitrotoga sp. LAW	This BioSample is a metagenomic assembly obtained from the freshwater sediment metagenome BioSample: SAMN09002952|freshwater sediment metagenome|1	USA:Colorado, Denver, Cherry Creek underneath Larimer street bridge	Sediment of Cherry Creek; enriched in culture for about 1.5 years	sediment permeated by freshwater|creek sediment|sediment		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0
SAMN09011957	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. MKT	2184311	Candidatus Nitrotoga sp. MKT	This BioSample is a metagenomic assembly obtained from the freshwater sediment metagenome BioSample: SAMN09002953|freshwater sediment metagenome|1	USA:Colorado, Denver, Cherry Creek underneath Market street bridge	Sediment of Cherry Creek; enriched in culture for about 1.5 years	sediment permeated by freshwater|creek sediment|sediment		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0
SAMN09011958	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. SPKER	2184312	Candidatus Nitrotoga sp. SPKER	This BioSample is a metagenomic assembly obtained from the freshwater metagenome BioSample: SAMN09002954|freshwater metagenome|1	USA:Colorado, South Platte River near Kersey	Flowing water column of South Platte River; enriched in culture for about 1.5 years	freshwater river|river water column|water column		0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
SAMD00069837	Nitrotoga sp. clone AM1	2559597	Candidatus Nitrotoga sp. AM1P		Japan:Shizuoka, Shimoda, Tanoura Bay		sediment|sand of an eelgrass zone|sea water		0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
SAMN12036158	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	2052162	Gallionellaceae bacterium	metagenomic assembly|freshwater sediment metagenome|1	Canada: Lake Hazen	sediment	freshwater lake biome [ENVO:01000252]|non-saline sediment environment [ENVO_01001049]|lake sediment [ENVO_00000546]		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	4	0	0	0	0
SAMN14080629	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	2052162	Gallionellaceae bacterium	metagenomic assembly|drinking water metagenome|1	Netherlands	disinfectant-free drinking water, site 4	ENVO:00002030|not applicable|ENVO:00003064		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN15216877	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Huron	freshwater lake Midhypolimnion	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMN15217022	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Erie	freshwater lake Midhypolimnion	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6946516	MAG Erken-D6_bin-0695 from assembly ERS4600397	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
