genomeAcc	bioprojectID	bioprojectTitle	bioprojectDec	bioprojectFlags	bioprojectHabitat	biosampleID	biosampleTitle	biosampleLocation	biosampleSource	biosampleEnvs	biosampleFlags	biosampleHabitat	sumHabitat
GCA_013168275.1	PRJDB5415	Nitrotoga sp. AM1 Genome sequencing	Nitrotoga is one of nitrite-oxidizing bacteria (NOB), which carry out the second step of nitrification and uses nitrite as sole energy for growth. Members of genus Nitrotoga are only belonging to class betaproteobacteria. "Candidatus Nitrotoga arctica" is primary cold-adapted NOB enriched from permafrost-affected soils in Siberia, and closely related clones to Nitrotoga were detected in diverse natural habitats such as glacier, a subglacial Antarctic lake, cave biofilm, groundwater and engineered systems operated at low temperature.  However, the ecological and genomic significance of Nitrotoga are big unknown. Recently, Candidatus Nitrotoga sp. AM1 was enriched from coastal water and characterized. Further insight into the biology of Nitrotoga would improve our understanding of nitrogen cycle in natural and engineered habitats.	Aqua,Freshwater,Groundwater,Ice,Brackish,Soil,Extreme,Biofilm	Biofilm	SAMD00069837	Nitrotoga sp. clone AM1	Japan:Shizuoka, Shimoda, Tanoura Bay		sediment|sand of an eelgrass zone|sea water	Aqua,Marine,Soil,Sediment	MarineSed.	Biofilm
GCA_947501705.1	PRJNA428721	Freshwater metagenomes from Lake Zurich, Switzerland	Lake Zurich is a large (68km2), deep (136m), prealpine lake in Switzerland. This study describes the microbial communities of the Lake using high throughput sequencing. Water samples from different times and different depths representing the epi- and hypolimnion were taken at the deepest part of the lake (47°18’ N 8°34’ E). 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA112176888	ZH-3nov15-146	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_030680535.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36729575	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW
GCA_918378365.1	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA10456467	Candidatus Nitrotoga arctica 6680		permafrost soil		Ice,Soil	Ice	Others
GCA_002470125.1	PRJNA348753	Recovery of nearly 8,000 uncultivated bacterial and archaeal genomes substantially flesh out the tree of life	Challenges in cultivating microorganisms have limited the phylogenetic diversity of currently available microbial genomes. This is being addressed by advances in sequencing throughput and computational techniques that allow for the cultivation-independent recovery of high-quality bacterial and archaeal genomes directly from metagenomic data. In this study, we recovered 7,903 uncultivated genomes from >1,000 metagenomes available from the Sequence Read Archive. These genomes increase the phylogenetic diversity of current archaeal and bacterial genome trees by >30%.	Metagenome	Unspecified	SAMN06452348	Uncultivated Gallionellales bacterium UBA7399 genome recovered from SRX332015	USA: Georgia	Lake Lanier		Metagenome,Freshwater	FW	FW
GCA_903820885.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6949537	MAG UppL4_bin-921 from assembly ERS4600574	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_943331495.1	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14435023	ERS11712894	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring
GCA_924101635.2	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA10557548	Candidatus Nitrotoga sp. HW29		biofilm sample of a freshwater recirculation aquaculture system		Freshwater,Modified,Biofilm	Biofilm	Biofilm
GCA_949281335.1	PRJEB58181	Partial nitritation anammox biofilm colonization	Partial nitritation anammox (PNA) is a biological nitrogen removal process commonly used in wastewater treatment plants during treatment of the warm and nitrogen rich sludge liquor from anaerobic digestion, also known as sidestream wastewater. In these systems biofilms are frequently used to retain biomass from ammonia oxidizing bacteria and anammox bacteria, which together convert ammonium to nitrogen gas. Little is known about how these biofilm communities develop, and whether knowledge about the assembly of biofilm in natural communities can be applied to PNA biofilms. In this study the start-up of full-scale PNA moving bed biofilm reactor was followed for 175 days using shotgun metagenomics. Environmental filtering likely restricted initial biofilm colonization, resulting in low phylogenetic diversity, with the initial microbial community comprised mainly of Proteobacteria. Facilitative priority effects allowed further biofilm colonization, with growth of the initial colonizers facilitating the arrival and growth of anaerobic taxa like methanogens and anammox bacteria. Among the early colonizers were known ‘oligotrophic’ ammonia oxidizers including commamox and Nitrosomonas cluster 6a. Increasing the nitrogen load in the bioreactor allowed colonization by ‘eutrophic’ Nitrosomonas cluster 7 and resulted in the exclusion of the initial ammonia oxidizers and nitrite oxidizers. The results of this study not only contribute to our knowledge about biofilm assembly and PNA bioreactor start-up but could also help guide strategies for the successful implementation of PNA bioreactors.	Biofilm,Modified,Metagenome	Biofilm	SAMEA112657731	uncultured Candidatus Nitrotoga sp KLAP52	Sweden|Klagshman WWTP	Biofilm from a full-scale sidestream partial nitritation anammox MBBR	wastewater treatment plant (ENVO:00002043)|waste water (ENVO:00002001)|biofilm (ENVO_00002034)	Biofilm,Modified,Metagenome,Aqua	Biofilm	Biofilm
GCA_903827555.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6950843	MAG Erken-D5_bin-0001 from assembly ERS4600396	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
